Date,High,Low
20091119,66,48
20091120,63,46
20091121,64,43
20091122,64,37
20091123,70,37
20091124,60,37
20091125,60,46
20091126,63,42
20091127,63,45
20091128,64,46
20091129,62,41
20091130,55,42
20091201,57,37
20091202,61,45
20091203,66,50
20091204,61,54
20091205,60,50
20091206,57,48
20091207,55,45
20091208,53,42
20091209,57,39
20091210,57,39
20091211,57,41
20091212,55,35
20091213,59,34
20091214,55,34
20091215,55,39
20091216,55,43
20091217,57,48
20091218,57,43
20091219,59,41
20091220,55,43
20091221,53,39
20091222,53,32
20091223,55,37
20091224,57,45
20091225,57,37
20091226,53,43
20091227,48,37
20091228,48,43
20091229,57,44
20091230,52,43
20091231,57,42
20100101,62,39
20100102,62,44
20100103,62,42
20100104,57,45
20100105,54,44
20100106,55,36
20100107,62,45
20100108,66,48
20100109,63,39
20100110,57,37
20100111,50,37
20100112,48,35
20100113,48,30
20100114,48,28
20100115,53,28
20100116,50,30
20100117,57,37
20100118,61,33
20100119,55,35
20100120,61,35
20100121,64,43
20100122,61,36
20100123,57,35
20100124,60,35
20100125,55,39
20100126,54,44
20100127,57,48
20100128,59,45
20100129,63,45
20100130,59,41
20100131,55,48
20100201,53,46
20100202,55,44
20100203,59,37
20100204,66,39
20100205,64,43
20100206,61,46
20100207,61,51
20100208,60,51
20100209,61,55
20100210,62,55
20100211,61,46
20100212,59,43
20100213,57,46
20100214,61,39
20100215,64,44
20100216,71,46
20100217,73,51
20100218,60,46
20100219,63,44
20100220,57,45
20100221,59,48
20100222,55,44
20100223,55,42
20100224,57,39
20100225,55,48
20100226,57,44
20100227,53,39
20100228,53,37
20100301,54,37
20100302,61,39
20100303,66,43
20100304,70,48
20100305,68,53
20100306,69,46
20100307,62,51
20100308,61,46
20100309,60,45
20100310,68,46
20100311,79,48
20100312,80,52
20100313,73,53
20100314,64,48
20100315,78,46
20100316,78,50
20100317,62,51
20100318,66,46
20100319,64,48
20100320,60,48
20100321,66,46
20100322,73,43
20100323,78,48
20100324,68,48
20100325,64,53
20100326,66,48
20100327,57,46
20100328,66,42
20100329,73,42
20100330,72,46
20100331,69,46
20100401,64,46
20100402,69,46
20100403,71,46
20100404,69,50
20100405,71,52
20100406,64,52
20100407,68,51
20100408,71,51
20100409,66,50
20100410,72,46
20100411,63,50
20100412,64,46
20100413,70,44
20100414,57,51
20100415,68,46
20100416,75,46
20100417,62,48
20100418,61,45
20100419,57,42
20100420,64,46
20100421,61,43
20100422,63,48
20100423,70,44
20100424,66,46
20100425,66,48
20100426,69,48
20100427,82,50
20100428,81,55
20100429,70,53
20100430,77,51
20100501,70,48
20100502,66,52
20100503,63,48
20100504,64,51
20100505,73,46
20100506,88,54
20100507,91,57
20100508,84,60
20100509,73,55
20100510,57,52
20100511,64,51
20100512,64,50
20100513,72,46
20100514,66,50
20100515,63,51
20100516,70,48
20100517,68,50
20100518,73,50
20100519,70,52
20100520,73,51
20100521,78,54
20100522,81,51
20100523,86,55
20100524,78,55
20100525,69,54
20100526,69,55
20100527,69,54
20100528,73,52
20100529,69,53
20100530,66,55
20100531,64,54
20100601,66,54
20100602,64,54
20100603,70,55
20100604,73,59
20100605,68,55
20100606,70,53
20100607,75,51
20100608,70,50
20100609,75,53
20100610,75,55
20100611,75,53
20100612,79,52
20100613,90,59
20100614,89,60
20100615,86,59
20100616,72,55
20100617,79,53
20100618,79,57
20100619,73,55
20100620,71,55
20100621,77,55
20100622,79,54
20100623,77,54
20100624,77,53
20100625,82,53
20100626,71,54
20100627,73,55
20100628,73,57
20100629,77,60
20100630,75,54
20100701,78,54
20100702,82,57
20100703,72,57
20100704,84,59
20100705,84,61
20100706,75,60
20100707,73,55
20100708,78,55
20100709,73,57
20100710,73,59
20100711,78,62
20100712,75,59
20100713,79,60
20100714,73,60
20100715,78,62
20100716,75,59
20100717,77,60
20100718,75,63
20100719,80,59
20100720,79,59
20100721,77,61
20100722,75,63
20100723,79,64
20100724,73,61
20100725,72,57
20100726,75,60
20100727,78,60
20100728,77,57
20100729,73,57
20100730,80,59
20100731,75,59
20100801,75,59
20100802,73,60
20100803,79,60
20100804,77,59
20100805,71,57
20100806,71,59
20100807,73,57
20100808,71,55
20100809,77,60
20100810,77,57
20100811,73,57
20100812,72,55
20100813,75,55
20100814,73,55
20100815,75,57
20100816,79,60
20100817,80,55
20100818,78,57
20100819,77,55
20100820,80,64
20100821,82,62
20100822,82,60
20100823,82,57
20100824,78,59
20100825,73,61
20100826,73,61
20100827,78,59
20100828,86,62
20100829,88,68
20100830,90,68
20100831,80,66
20100901,87,62
20100902,89,61
20100903,78,61
20100904,78,63
20100905,89,57
20100906,82,64
20100907,75,61
20100908,73,62
20100909,71,61
20100910,73,59
20100911,71,59
20100912,72,60
20100913,77,57
20100914,75,60
20100915,73,57
20100916,72,61
20100917,72,55
20100918,73,55
20100919,66,55
20100920,71,52
20100921,77,57
20100922,64,57
20100923,68,55
20100924,78,52
20100925,84,53
20100926,87,57
20100927,75,55
20100928,66,54
20100929,73,52
20100930,75,48
20101001,71,57
20101002,81,53
20101003,73,54
20101004,69,55
20101005,64,50
20101006,73,45
20101007,77,46
20101008,79,53
20101009,72,53
20101010,69,54
20101011,70,48
20101012,64,54
